transacao_id,cliente_id,valor,data,produto
57,687,4315.93,2026-06-25,Seguro
58,612,1955.42,2026-02-06,Conta Digital
59,117,1752.66,2026-04-14,Conta Digital
60,177,4072.42,2025-11-01,Conta Digital
61,605,442.06,2025-05-18,Seguro
62,121,1208.09,2025-04-30,Empréstimo
63,383,3473.31,2026-06-08,Investimento
64,429,2990.2,2026-01-28,Investimento
65,191,2443.62,2025-06-27,Conta Digital
66,171,2458.42,2025-05-24,Empréstimo
67,323,4213.09,2025-02-24,Seguro
68,975,67.73,2025-05-20,Empréstimo
69,835,1932.04,2026-06-02,Investimento
70,419,3429.79,2026-03-02,Investimento
71,501,852.92,2025-02-01,Empréstimo
72,300,182.82,2025-08-19,Conta Digital
73,296,857.68,2026-04-14,Conta Digital
74,761,3867.29,2026-05-23,Conta Digital
75,524,583.79,2025-04-27,Seguro
76,794,2724.67,2026-01-11,Conta Digital
77,843,3788.8,2026-03-28,Conta Digital
78,224,4949.08,2025-04-15,Empréstimo
79,305,4376.55,2025-02-03,Investimento
80,270,1755.91,2025-03-31,Investimento
81,887,4969.91,2025-08-31,Empréstimo
82,831,3693.31,2025-12-26,Conta Digital
83,648,2152.27,2025-05-23,Empréstimo
84,834,1050.57,2025-03-02,Conta Digital
85,360,2670.76,2025-06-22,Seguro
86,721,1477.32,2025-10-01,Conta Digital
87,922,3402.91,2025-04-08,Empréstimo
88,986,3755.47,2026-02-26,Cartão
89,284,4337.9,2025-05-10,Empréstimo
90,256,748.29,2025-11-26,Empréstimo
91,780,4220.91,2026-02-07,Investimento
92,146,2895.58,2025-10-03,Investimento
93,385,2270.92,2025-04-06,Investimento
94,528,3754.02,2026-01-13,Investimento
95,974,2450.46,2025-01-03,Cartão
96,749,4861.31,2026-01-02,Cartão
97,815,2681.43,2025-08-12,Investimento
98,845,1075.02,2025-10-02,Seguro
99,849,1432.29,2025-05-14,Conta Digital
100,873,2436.98,2025-12-18,Cartão
101,48,515.88,2026-04-16,Cartão
102,128,4648.58,2025-06-11,Investimento
103,468,23.37,2026-03-15,Empréstimo
104,706,4548.85,2025-11-06,Empréstimo
105,896,4664.97,2025-10-08,Cartão
106,671,1814.97,2025-03-26,Seguro
107,681,4520.93,2025-06-19,Cartão
108,406,3135.51,2025-08-28,Investimento
109,672,474.17,2025-04-08,Cartão
110,219,2394.5,2025-05-16,Conta Digital
111,232,2606.83,2026-04-01,Cartão
112,9,3484.07,2025-05-04,Investimento
113,711,678.23,2025-03-14,Empréstimo
114,393,464.87,2025-04-15,Cartão
115,321,1850.46,2025-11-03,Empréstimo
116,392,3871.83,2025-05-17,Empréstimo
117,71,2661.93,2025-01-09,Conta Digital
118,666,837.3,2025-12-26,Empréstimo
119,644,3746.38,2026-02-26,Conta Digital
120,704,2223.07,2025-08-11,Cartão
121,919,520.32,2025-05-07,Conta Digital
122,748,1932.48,2026-03-16,Seguro
123,811,716.35,2025-10-11,Cartão
124,255,2775.92,2025-10-19,Cartão
125,869,4238.41,2025-11-05,Empréstimo
126,531,3042.5,2025-07-13,Investimento
127,303,3237.93,2025-09-03,Investimento
128,396,581.46,2026-05-27,Conta Digital
129,73,2650.87,2025-01-13,Seguro
130,957,1596.03,2026-02-01,Conta Digital
131,431,1839.75,2025-06-26,Investimento
132,978,4937.08,2025-03-16,Cartão
133,602,356.31,2025-09-26,Empréstimo
134,41,4614.44,2026-02-12,Conta Digital
135,294,3150.28,2026-05-29,Investimento
136,434,3515.02,2025-03-26,Conta Digital
137,551,3087.91,2025-10-12,Cartão
138,318,413.53,2025-07-28,Empréstimo
139,550,1647.22,2025-03-09,Seguro
140,716,2198.68,2025-09-02,Cartão
141,251,449.34,2026-03-21,Cartão
142,465,3069.24,2025-02-26,Seguro
143,683,3713.63,2025-06-29,Cartão
144,13,3545.35,2025-01-12,Empréstimo
145,509,4766.02,2026-06-20,Conta Digital
146,802,4116.08,2025-09-23,Empréstimo
147,381,652.11,2025-10-03,Cartão
148,790,4501.49,2025-12-10,Investimento
149,279,2628.79,2025-09-27,Conta Digital
150,643,403.81,2026-04-12,Conta Digital
151,369,296.09,2025-06-20,Seguro
152,162,1290.48,2025-04-16,Conta Digital
153,691,3619.44,2025-08-22,Conta Digital
154,3,239.31,2025-01-13,Empréstimo
155,48,2369.39,2026-01-28,Empréstimo
156,184,4657.18,2025-02-06,Conta Digital
157,823,4571.46,2026-03-06,Empréstimo
158,330,1256.35,2025-11-24,Seguro
159,846,407.88,2026-01-17,Cartão
160,515,3373.16,2025-02-23,Empréstimo
161,229,4025.6,2025-02-17,Investimento
162,71,4387.42,2025-10-17,Seguro
163,336,450.2,2026-04-13,Cartão
164,378,1019.34,2025-11-08,Conta Digital
165,249,2330.35,2026-05-21,Empréstimo
166,751,4504.21,2025-09-09,Empréstimo
167,7,4663.34,2025-01-25,Empréstimo
168,555,1745.19,2025-01-10,Seguro
169,2,3799.47,2026-01-21,Seguro
170,107,1041.87,2025-09-01,Investimento
171,504,4806.7,2025-05-26,Seguro
172,96,238.62,2025-08-26,Conta Digital
173,423,3510.22,2026-01-17,Investimento
174,998,3744.54,2025-04-08,Conta Digital
175,137,3193.33,2026-02-08,Cartão
176,607,2847.75,2026-03-22,Empréstimo
177,243,1472.55,2025-11-19,Investimento
178,718,4162.86,2025-12-01,Seguro
179,464,1374.34,2025-03-18,Empréstimo
180,140,3904.09,2025-04-22,Empréstimo
181,109,838.59,2026-04-23,Seguro
182,417,621.27,2026-01-02,Empréstimo
183,463,1555.37,2025-09-29,Cartão
184,93,804.92,2025-11-08,Conta Digital
185,42,1090.8,2025-12-02,Empréstimo
186,94,3561.56,2025-12-31,Investimento
187,526,263.77,2025-11-03,Seguro
188,840,4953.57,2025-02-01,Investimento
189,876,2271.96,2025-09-13,Cartão
190,474,527.5,2025-05-24,Cartão
191,13,327.11,2025-08-16,Empréstimo
192,203,4121.89,2026-01-17,Cartão
193,597,2938.87,2025-03-18,Cartão
194,67,1004.8,2026-03-31,Empréstimo
195,95,4527.29,2025-12-06,Cartão
196,44,4712.56,2025-02-21,Empréstimo
197,947,2877.94,2026-02-09,Investimento
198,31,1925.99,2026-03-13,Empréstimo
199,363,1089.29,2025-07-11,Seguro
200,287,2241.14,2025-06-02,Cartão
201,629,3103.5,2025-09-09,Seguro
202,511,2071.72,2026-05-06,Cartão
203,90,1413.28,2025-05-21,Investimento
204,205,3220.41,2026-06-23,Empréstimo
205,646,4970.55,2025-01-20,Investimento
206,801,3572.59,2026-05-07,Conta Digital
207,801,2433.7,2026-05-30,Seguro
208,398,1366.77,2025-01-27,Seguro
209,612,1110.72,2025-10-15,Cartão
210,829,4957.83,2026-01-02,Conta Digital
211,239,4870.42,2025-04-13,Empréstimo
212,673,1220.94,2025-02-27,Empréstimo
213,590,4235.6,2026-02-02,Seguro
214,958,4199.33,2025-06-27,Empréstimo
215,243,2970.75,2026-01-03,Conta Digital
216,29,3523.2,2025-12-27,Conta Digital
217,578,727.67,2025-07-12,Investimento
218,556,1559.08,2026-05-18,Cartão
219,93,299.72,2025-08-13,Cartão
220,540,2400.39,2025-12-06,Conta Digital
221,207,4036.1,2025-12-15,Empréstimo
222,941,4016.07,2025-11-28,Cartão
223,23,755.61,2025-05-26,Cartão
224,867,2640.95,2026-01-09,Cartão
225,383,3528.6,2026-02-10,Conta Digital
226,104,1696.07,2025-11-27,Empréstimo
227,1000,804.37,2026-03-24,Investimento
228,665,1600.07,2026-01-01,Empréstimo
229,682,2952.97,2025-06-29,Investimento
230,315,3675.29,2025-10-29,Empréstimo
231,182,3649.58,2026-02-05,Conta Digital
232,34,926.77,2025-11-22,Conta Digital
233,227,3205.44,2025-04-17,Investimento
234,145,1669.22,2025-03-21,Empréstimo
235,356,4912.25,2025-06-21,Cartão
236,842,3550.65,2025-12-10,Investimento
237,12,1340.76,2025-09-13,Cartão
238,359,1298.16,2025-04-21,Cartão
239,50,1941.97,2026-03-06,Empréstimo
240,906,2081.82,2026-01-23,Seguro
241,560,1889.23,2026-05-06,Conta Digital
242,667,3796.05,2025-08-19,Empréstimo
243,463,387.07,2025-02-04,Seguro
244,21,1607.21,2025-04-18,Cartão
245,351,867.12,2026-01-20,Empréstimo
246,750,393.51,2025-04-06,Seguro
247,609,4926.67,2026-05-10,Cartão
248,442,4713.36,2025-06-18,Conta Digital
249,912,2182.32,2025-02-24,Cartão
250,340,1043.64,2025-07-14,Investimento
251,714,2779.48,2025-09-29,Seguro
252,305,1202.99,2025-02-20,Investimento
253,586,2757.32,2026-05-18,Empréstimo
254,56,1816.93,2026-03-14,Cartão
255,302,4123.01,2026-05-07,Empréstimo
256,100,148.16,2025-06-24,Seguro
257,84,2378.38,2025-04-29,Seguro
258,804,1999.39,2026-05-16,Seguro
259,94,3216.49,2026-02-01,Empréstimo
260,380,4429.75,2026-01-14,Empréstimo
261,457,242.19,2026-03-27,Investimento
262,270,1146.69,2025-10-03,Conta Digital
263,64,772.63,2025-04-10,Cartão
264,685,1732.08,2026-02-28,Conta Digital
265,233,2776.94,2026-02-01,Conta Digital
266,429,4828.83,2026-05-02,Conta Digital
267,903,1193.5,2025-11-03,Cartão
268,405,4515.83,2025-02-05,Conta Digital
269,585,4504.27,2025-05-31,Cartão
270,973,3790.8,2025-06-27,Empréstimo
271,996,1075.21,2025-07-17,Empréstimo
272,44,2128.41,2026-03-22,Empréstimo
273,843,3143.59,2025-09-22,Seguro
274,933,3640.97,2025-03-10,Cartão
275,398,2790.69,2025-11-30,Seguro
276,533,2301.62,2025-01-13,Conta Digital
277,602,2622.36,2026-03-06,Cartão
278,425,765.22,2025-04-13,Cartão
279,577,3902.13,2025-10-20,Conta Digital
280,902,1732.47,2026-02-25,Seguro
281,393,3280.84,2026-04-30,Cartão
282,177,1391.56,2025-05-28,Conta Digital
283,624,3410.45,2026-02-16,Cartão
284,406,4450.08,2025-12-06,Empréstimo
285,51,3733.83,2025-10-03,Seguro
286,21,1702.57,2025-11-07,Seguro
287,288,4217.38,2025-04-11,Empréstimo
288,138,1516.39,2026-03-30,Seguro
289,276,3649.42,2025-04-02,Empréstimo
290,453,1072.72,2026-02-21,Investimento
291,778,2592.18,2026-01-18,Cartão
292,528,3961.62,2025-03-09,Seguro
293,727,2543.84,2025-05-19,Conta Digital
294,901,2851.99,2025-06-27,Empréstimo
295,897,4167.99,2025-03-01,Empréstimo
296,34,2293.11,2026-01-05,Empréstimo
297,281,1854.39,2026-04-21,Conta Digital
298,407,3184.34,2025-05-07,Cartão
299,248,1874.88,2026-04-02,Empréstimo
300,984,4354.99,2025-12-25,Seguro
301,168,4191.52,2025-09-22,Cartão
302,292,156.7,2025-02-20,Empréstimo
303,875,2869.85,2025-08-08,Empréstimo
304,663,1141.06,2025-07-31,Seguro
305,668,2059.35,2025-01-21,Cartão
306,486,4559.35,2025-06-27,Conta Digital
307,821,62.15,2025-09-16,Conta Digital
308,825,4716.16,2025-10-09,Investimento
309,917,1894.85,2025-12-24,Investimento
310,259,1106.68,2025-11-06,Conta Digital
311,845,3125.56,2025-04-15,Cartão
312,524,4997.16,2026-01-19,Conta Digital
313,663,2976.99,2025-10-17,Seguro
314,701,558.36,2025-03-07,Seguro
315,284,3210.16,2025-10-11,Seguro
316,672,3561.25,2025-11-02,Empréstimo
317,154,2596.12,2025-09-04,Cartão
318,825,4289.43,2026-02-18,Seguro
319,698,716.85,2025-01-27,Investimento
320,303,1311.94,2026-03-05,Investimento
321,398,3688.93,2025-07-14,Seguro
322,744,3572.58,2026-05-03,Seguro
323,520,1514.97,2025-06-24,Conta Digital
324,186,1483.04,2026-04-28,Empréstimo
325,759,1308.09,2025-07-07,Seguro
326,671,464.71,2025-12-30,Empréstimo
327,763,4359.73,2026-03-07,Seguro
328,381,1317.58,2025-10-29,Investimento
329,872,606.55,2025-02-24,Conta Digital
330,595,4722.62,2025-03-14,Investimento
331,911,988.83,2025-05-03,Investimento
332,543,1505.81,2025-02-25,Empréstimo
333,141,4961.89,2025-12-17,Investimento
334,584,4466.37,2026-04-14,Empréstimo
335,324,4314.72,2025-07-04,Cartão
336,500,1676.49,2025-07-01,Seguro
337,650,308.91,2026-04-08,Seguro
338,215,3810.74,2025-06-22,Conta Digital
339,783,809.01,2025-04-01,Empréstimo
340,630,2179.88,2026-03-16,Investimento
341,440,4827.33,2026-01-28,Cartão
342,39,2678.24,2026-01-18,Cartão
343,914,1624.62,2025-07-15,Cartão
344,693,40.54,2025-09-12,Empréstimo
345,711,4387.39,2025-11-16,Empréstimo
346,106,1930.08,2025-11-10,Empréstimo
347,67,4122.74,2025-11-02,Seguro
348,467,3644.6,2026-06-21,Seguro
349,445,4442.11,2025-05-18,Seguro
350,924,2461.09,2025-07-12,Empréstimo
351,971,4536.33,2026-02-18,Cartão
352,234,1137.12,2025-05-15,Empréstimo
353,752,129.13,2026-06-01,Empréstimo
354,127,1845.63,2025-02-08,Investimento
355,898,3208.8,2025-02-19,Conta Digital
356,50,3316.61,2025-01-21,Cartão
357,707,596.63,2026-03-31,Investimento
358,127,2745.47,2026-05-01,Empréstimo
359,211,3482.06,2025-01-10,Seguro
360,431,3315.09,2026-06-17,Seguro
361,638,3036.06,2025-05-21,Investimento
362,851,4495.14,2026-06-08,Conta Digital
363,121,1427.88,2025-04-19,Investimento
364,204,3052.83,2025-09-27,Conta Digital
365,997,1024.33,2026-02-24,Seguro
366,165,216.24,2026-05-24,Empréstimo
367,705,4666.96,2025-12-05,Empréstimo
368,3,83.49,2025-04-02,Cartão
369,856,2879.28,2026-05-21,Empréstimo
370,973,468.61,2026-06-08,Cartão
371,741,3623.41,2025-09-20,Empréstimo
372,468,4943.56,2025-10-31,Seguro
373,476,269.4,2025-06-28,Cartão
374,873,1467.02,2025-11-17,Investimento
375,757,597.19,2025-02-16,Cartão
376,873,709.2,2025-06-24,Seguro
377,367,4474.75,2025-10-02,Cartão
378,382,4078.52,2025-07-07,Cartão
379,411,2013.25,2026-04-13,Seguro
380,856,1940.86,2026-05-05,Investimento
381,665,4432.9,2025-06-20,Cartão
382,136,3486.93,2025-03-02,Empréstimo
383,107,2091.82,2026-05-10,Conta Digital
384,695,2202.05,2026-01-24,Seguro
385,627,163.5,2025-05-14,Investimento
386,943,2450.85,2026-02-26,Investimento
387,48,335.41,2025-11-18,Cartão
388,722,4344.29,2026-06-22,Conta Digital
389,742,2833.76,2025-12-13,Conta Digital
390,536,3447.44,2025-04-08,Investimento
391,678,3638.73,2026-05-09,Seguro
392,680,3387.95,2026-01-30,Empréstimo
393,860,4135.66,2025-02-25,Cartão
394,659,4673.17,2026-06-02,Investimento
395,873,2489.26,2025-06-19,Cartão
396,770,2468.41,2025-09-04,Seguro
397,994,1405.22,2026-06-04,Empréstimo
398,564,3223.72,2026-02-17,Empréstimo
399,81,2306.29,2026-04-04,Cartão
400,878,2502.31,2025-11-20,Cartão
401,510,3731.29,2025-01-19,Cartão
402,414,2073.45,2025-01-01,Cartão
403,811,3028.93,2025-11-08,Conta Digital
404,576,1050.12,2026-04-13,Seguro
405,373,4130.05,2025-08-17,Investimento
406,340,2809.55,2026-04-30,Seguro
407,734,2273.61,2025-04-10,Empréstimo
408,3,1719.96,2025-10-26,Conta Digital
409,535,1881.97,2025-04-19,Cartão
410,919,837.49,2025-05-24,Investimento
411,110,1286.36,2025-07-20,Empréstimo
412,124,4652.48,2026-02-07,Empréstimo
413,469,4126.28,2025-07-15,Seguro
414,111,3790.6,2025-02-17,Conta Digital
415,127,3865.28,2026-04-07,Investimento
416,675,2954.79,2026-06-01,Empréstimo
417,987,2504.17,2025-02-19,Conta Digital
418,958,2175.4,2026-05-10,Conta Digital
419,800,4607.39,2025-07-01,Conta Digital
420,178,3657.86,2025-05-12,Cartão
421,397,3294.46,2025-11-26,Conta Digital
422,903,1935.62,2025-09-12,Seguro
423,408,4818.7,2025-10-29,Investimento
424,825,684.19,2026-02-27,Conta Digital
425,717,4434.46,2026-06-09,Seguro
426,864,3513.44,2025-11-18,Conta Digital
427,648,1102.37,2025-08-03,Conta Digital
428,732,1467.09,2025-12-20,Empréstimo
429,728,3257.43,2025-07-02,Conta Digital
430,556,3477.67,2025-11-27,Cartão
431,780,1774.14,2026-05-07,Conta Digital
432,585,4714.51,2026-03-04,Conta Digital
433,293,4389.84,2026-03-09,Cartão
434,536,550.22,2026-01-26,Empréstimo
435,55,3357.87,2025-07-24,Seguro
436,769,3931.95,2025-10-21,Seguro
437,150,4200.12,2025-10-30,Empréstimo
438,772,2715.04,2026-01-03,Investimento
439,105,3088.22,2025-08-18,Conta Digital
440,399,1203.23,2025-10-22,Cartão
441,949,1920.28,2026-03-03,Seguro
442,990,2769.58,2025-01-14,Seguro
443,208,3110.4,2026-03-30,Empréstimo
444,934,3176.27,2026-01-12,Conta Digital
445,560,3697.48,2025-07-21,Empréstimo
446,302,2255.1,2025-03-18,Empréstimo
447,986,885.5,2026-06-11,Cartão
448,387,222.36,2025-10-13,Conta Digital
449,271,667.73,2025-09-19,Cartão
450,339,2342.33,2025-06-08,Cartão
451,158,4644.57,2025-02-22,Conta Digital
452,864,3316.21,2026-05-18,Conta Digital
453,564,1803.27,2025-11-22,Conta Digital
454,226,4785.8,2026-06-18,Cartão
455,806,2535.6,2026-03-02,Conta Digital
456,550,2029.02,2025-12-24,Empréstimo
457,905,1082.5,2025-12-06,Seguro
458,370,1482.0,2026-05-02,Conta Digital
459,844,3765.63,2025-01-10,Cartão
460,685,1743.12,2025-09-04,Conta Digital
461,941,3113.24,2025-02-10,Seguro
462,391,4581.34,2025-04-27,Investimento
463,263,2710.38,2025-10-17,Cartão
464,934,2594.0,2026-01-19,Conta Digital
465,823,2553.5,2026-05-14,Cartão
466,304,4493.44,2025-07-17,Seguro
467,527,430.08,2025-04-09,Empréstimo
468,995,4782.26,2025-01-08,Cartão
469,216,3358.27,2025-08-07,Investimento
470,856,537.56,2026-03-22,Cartão
471,765,3436.5,2025-01-25,Investimento
472,735,1671.94,2025-03-31,Cartão
473,56,906.4,2025-09-15,Conta Digital
474,73,2883.31,2025-08-22,Seguro
475,418,1952.4,2026-02-19,Investimento
476,324,104.12,2025-05-02,Conta Digital
477,7,3214.29,2025-03-06,Conta Digital
478,47,3510.39,2025-03-16,Seguro
479,951,2524.13,2025-10-24,Seguro
480,622,450.8,2026-03-25,Investimento
481,405,4114.17,2025-02-01,Investimento
482,161,2676.67,2025-05-20,Investimento
483,816,3991.47,2025-10-30,Empréstimo
484,306,3392.9,2026-01-18,Cartão
485,567,4376.34,2025-05-25,Cartão
486,43,45.05,2026-02-08,Conta Digital
487,561,4735.96,2025-11-09,Empréstimo
488,767,3712.32,2025-12-19,Empréstimo
489,423,4530.03,2026-06-09,Empréstimo
490,165,936.28,2025-09-16,Empréstimo
491,118,923.16,2025-02-25,Conta Digital
492,473,3230.48,2025-03-16,Seguro
493,688,355.47,2025-04-11,Empréstimo
494,744,2911.37,2025-12-05,Seguro
495,132,3363.05,2025-08-29,Cartão
496,292,3105.19,2025-07-18,Seguro
497,498,2264.22,2025-11-10,Conta Digital
498,157,2836.45,2026-01-09,Seguro
499,982,2152.97,2025-01-05,Seguro
500,253,3932.59,2026-03-23,Seguro
501,861,1810.24,2025-12-06,Investimento
502,474,2237.88,2025-11-09,Investimento
503,565,561.99,2025-03-25,Seguro
504,880,4135.69,2025-07-21,Seguro
505,752,4433.95,2025-03-20,Cartão
506,914,112.78,2026-06-04,Cartão
507,833,2917.81,2026-02-19,Conta Digital
508,218,4533.39,2025-09-24,Conta Digital
509,916,4993.67,2026-04-29,Empréstimo
510,375,1974.64,2025-10-25,Empréstimo
511,476,2515.59,2025-04-03,Investimento
512,373,2520.79,2025-09-02,Conta Digital
513,701,845.9,2026-06-11,Empréstimo
514,457,812.93,2025-05-30,Investimento
515,962,1806.8,2025-08-13,Investimento
516,238,333.05,2026-01-14,Empréstimo
517,44,3349.56,2026-06-15,Seguro
518,398,2358.98,2026-04-11,Cartão
519,41,4903.34,2025-11-28,Cartão
520,721,4842.84,2025-10-08,Seguro
521,593,2730.86,2025-06-28,Investimento
522,670,1905.02,2025-03-21,Conta Digital
523,258,1894.12,2025-08-17,Conta Digital
524,416,1777.43,2025-12-20,Investimento
525,812,2420.91,2025-01-07,Conta Digital
526,904,712.06,2025-06-19,Empréstimo
527,79,2582.42,2025-10-15,Empréstimo
528,154,950.79,2026-01-06,Conta Digital
529,735,4088.44,2025-08-24,Investimento
530,831,1664.52,2025-04-27,Investimento
531,692,2404.5,2025-08-04,Conta Digital
532,166,3243.35,2026-02-25,Cartão
533,250,234.86,2025-06-14,Empréstimo
534,645,2572.96,2025-05-31,Cartão
535,171,1306.13,2025-07-04,Conta Digital
536,982,2039.17,2025-01-20,Seguro
537,970,447.03,2026-04-05,Conta Digital
538,483,4339.17,2025-06-24,Empréstimo
539,851,2065.62,2025-05-27,Conta Digital
540,841,3842.1,2026-06-08,Seguro
541,172,3626.45,2025-12-17,Investimento
542,611,2961.17,2025-08-24,Investimento
543,395,678.42,2025-01-17,Empréstimo
544,536,4300.77,2026-06-01,Investimento
545,847,764.81,2025-04-09,Empréstimo
546,488,4510.01,2025-02-09,Conta Digital
547,516,3766.87,2025-04-06,Investimento
548,676,669.04,2025-01-02,Investimento
549,535,2115.01,2025-02-14,Conta Digital
550,440,1162.84,2026-05-09,Investimento
551,359,2953.46,2025-04-11,Investimento
552,138,1287.5,2025-08-27,Cartão
553,291,2999.5,2026-02-23,Seguro
554,194,47.24,2025-01-08,Conta Digital
555,536,606.79,2025-01-08,Investimento
556,671,1042.99,2025-11-20,Investimento
557,371,550.78,2026-03-13,Conta Digital
558,260,1321.29,2026-03-10,Conta Digital
559,375,3067.17,2026-02-11,Empréstimo
560,424,2769.48,2026-05-10,Empréstimo
561,380,2804.29,2026-05-11,Seguro
562,315,2896.7,2026-02-12,Empréstimo
563,876,4321.88,2025-05-02,Empréstimo
564,458,3919.88,2025-06-15,Cartão
565,220,2551.55,2025-12-13,Conta Digital
566,629,3491.35,2025-02-23,Empréstimo
567,399,4823.56,2025-01-06,Cartão
568,844,743.74,2026-03-22,Cartão
569,66,1330.2,2026-01-15,Cartão
570,624,208.02,2026-01-29,Investimento
571,629,3287.75,2025-10-21,Conta Digital
572,59,4729.66,2025-06-29,Investimento
573,450,73.34,2026-06-15,Seguro
574,200,187.37,2026-06-07,Conta Digital
575,716,1173.72,2025-06-23,Cartão
576,369,1211.5,2025-01-01,Empréstimo
577,89,4984.15,2026-02-14,Seguro
578,686,1987.81,2025-07-25,Conta Digital
579,16,3689.89,2025-03-12,Cartão
580,563,1436.78,2025-12-23,Seguro
581,987,4081.26,2025-08-20,Conta Digital
582,987,988.74,2026-02-18,Conta Digital
583,5,1320.32,2026-02-21,Conta Digital
584,110,2801.98,2026-05-31,Seguro
585,349,4736.14,2026-06-10,Seguro
586,898,2698.76,2025-09-14,Investimento
587,990,1897.86,2026-05-11,Empréstimo
588,776,1711.51,2026-04-15,Investimento
589,919,2942.4,2025-01-29,Investimento
590,120,1303.94,2026-01-27,Empréstimo
591,694,3511.86,2025-11-20,Investimento
592,979,1778.42,2025-01-10,Seguro
593,255,1450.7,2026-02-13,Seguro
594,78,2781.67,2025-07-02,Investimento
595,322,1780.62,2025-10-03,Empréstimo
596,970,3735.86,2025-07-14,Investimento
597,755,1014.34,2025-09-05,Seguro
598,212,1161.45,2025-09-13,Conta Digital
599,365,796.86,2025-04-20,Cartão
600,943,410.87,2026-05-20,Conta Digital
601,7,3825.94,2025-02-13,Investimento
602,381,3110.92,2026-05-20,Conta Digital
603,890,1388.17,2025-07-07,Conta Digital
604,287,2001.44,2025-05-12,Cartão
605,539,4000.36,2026-05-05,Conta Digital
606,34,2522.33,2026-02-08,Empréstimo
607,469,4883.01,2026-06-15,Investimento
608,324,3452.27,2025-01-13,Empréstimo
609,389,2913.42,2025-11-30,Seguro
610,628,4311.97,2025-07-11,Conta Digital
611,270,1200.95,2026-04-28,Conta Digital
612,352,1842.3,2026-05-26,Investimento
613,216,2107.08,2026-01-17,Seguro
614,875,2014.95,2026-04-07,Empréstimo
615,586,673.07,2025-08-23,Cartão
616,739,1364.35,2025-08-30,Conta Digital
617,443,4284.42,2025-07-20,Empréstimo
618,820,4796.56,2025-06-03,Investimento
619,826,68.52,2026-03-08,Investimento
620,138,4977.9,2026-06-14,Conta Digital
621,738,1592.32,2026-05-14,Seguro
622,257,2819.45,2025-02-18,Investimento
623,102,3458.91,2025-03-03,Empréstimo
624,834,1286.36,2025-04-09,Investimento
625,763,1686.59,2026-01-05,Seguro
626,574,2796.31,2025-09-21,Seguro
627,21,2070.57,2025-12-26,Conta Digital
628,204,2892.73,2025-06-28,Seguro
629,364,1638.95,2026-06-07,Investimento
630,794,3687.9,2025-03-22,Investimento
631,629,1446.89,2025-05-29,Empréstimo
632,656,4042.43,2025-12-12,Investimento
633,647,3069.3,2026-02-19,Cartão
634,82,826.76,2025-08-22,Seguro
635,325,3272.01,2025-10-01,Conta Digital
636,661,1989.37,2026-04-01,Seguro
637,766,2942.86,2026-04-07,Investimento
638,172,935.75,2025-01-24,Empréstimo
639,746,1188.44,2025-09-15,Cartão
640,216,851.21,2025-04-16,Cartão
641,66,4685.23,2026-04-30,Conta Digital
642,56,151.3,2026-02-11,Conta Digital
643,784,4980.15,2025-04-17,Seguro
